convo_id,msg_id,timestamp,full_text,affcon_rapport,sentence_id,speaker,reply_to,speaker_intention,receiver_perception,receiver,absolute_message_index,relative_message_index,year,game_score_speaker,game_score_receiver,game_score_delta,deception_quadrant,num_words,num_characters
Game12-turkey-france,Game12-turkey-france-122,951,"You did, but I wasn't willing to make the first stab",1,10164,france-Game12,Game12-turkey-france-121,Truth,Truth,turkey-Game12,951,122,1907,7,1,-6,Straightforward,12,54
Game12-france-russia,Game12-france-russia-114,1018,"A Ber - Pru
A Boh - Sil
A Den - Kie
F HEL - NTH
A Hol - Ruh
A Kie - Mun
A Mun - Boh
F NAO - Lvp
F NTH - NWG
F NWG - NAO
F Nwy - Stp/nc",0,9612,russia-Game12,Game12-france-russia-113,Truth,Truth,france-Game12,1018,114,1908,11,15,4,Straightforward,44,134
Game11-turkey-italy,Game11-turkey-italy-101,1319,"A Ven S F Alb - Tri
A ION C A Nap - Alb would be the fastest way to ramp up the pressure on Austria",1,7232,italy-Game11,Game11-turkey-italy-100,Truth,Truth,turkey-Game11,1319,101,1907,4,3,-1,Straightforward,26,99
Game12-france-russia,Game12-france-russia-157,1062,"```
    

A Bur S Pie - Mar

F ENG - MAO

F Mar - Spa/sc

A Pie - Mar

A Ruh - Mun

F Tun - ION

F WES S Mar - Spa/sc
```",0,9653,france-Game12,Game12-france-russia-156,Truth,Truth,russia-Game12,1062,157,1908,7,3,-4,Straightforward,34,121
Game12-turkey-russia,Game12-turkey-russia-197,579,"A Ber S Sil - Mun
A Boh S Sil - Mun
F BOT - BAL
F Nwy - BAR
A Sil - Mun
F Swe S Nwy
A Vie - Tri
A War - Gal",0,9215,russia-Game12,Game12-turkey-russia-196,Truth,Truth,turkey-Game12,579,197,1904,8,7,-1,Straightforward,36,107
Game4-turkey-russia,Game4-turkey-russia-151,1527,"Turkey: 
A Ser - Tri
F Alb S Ser - Tri
F Bla - Con
A Rum - Ser
A  Bul S Rum - Ser
Apu - Ven
Ion - Nap
Russia:
Bud S Alb - Tri
Gal S Vie H
Vie H
Nwy H
Nwg S Nwy H
War - Pru
Ukr - Mos

England:
Edi - Nth

This garuntees us Tri, and prevents france from getting any centers.",0,18266,russia-Game4,Game4-turkey-russia-150,Truth,Truth,turkey-Game4,1527,151,1907,7,7,0,Straightforward,70,271
Game12-turkey-france,Game12-turkey-france-94,852,"I normally make very specific proposals, so there's no ambiguity: if you are keeping two fleets in the Med, to protect Tunis, then I can offer to park Tunis on the coast, and do Nap-Tys, Rom-Tys (self bounce) and Ion-Tun (to cut your support so you can't do Tun S Wes-Tys to force Tys from me).",1,10131,turkey-Game12,Game12-turkey-france-93,Truth,Lie,france-Game12,852,94,1907,12,16,4,Cassandra,56,294
Game4-austria-russia,Game4-austria-russia-4,80,"I will give you Romania as long as we can take out Turkey asap

Should we start this turn?",1,17590,austria-Game4,Game4-austria-russia-3,Truth,Truth,russia-Game4,80,4,1901,3,2,-1,Straightforward,19,90
Game12-turkey-russia,Game12-turkey-russia-332,872,"F BAR - NWG
A Ber - Kie
A Boh S Mun
F Den - NTH
A Kie - Den
A Mun H
F Nwy S BAR - NWG
A Pru - Ber
A Sil S Mun
F SKA S Den - NTH
F Swe - SKA",1,9420,russia-Game12,Game12-turkey-russia-331,Truth,Truth,turkey-Game12,872,332,1907,11,10,-1,Straightforward,47,139
Game4-england-france,Game4-england-france-168,966,"For that reason, I recommend:
Warsaw S Silesia H 
Munich-Berlin
Kiel S Munich-Berlin
Burgundy-Munich",1,18488,france-Game4,Game4-england-france-167,Truth,Truth,england-Game4,966,168,1904,6,6,0,Straightforward,14,100
Game12-france-russia,Game12-france-russia-236,1148,"F MAO S Por - Spa/sc

A Mar - Pie

F Naf - WES

F Por - Spa/sc

F Spa/sc - LYO

A Tyr S Mar - Pie",0,9744,france-Game12,Game12-france-russia-235,Truth,Truth,russia-Game12,1148,236,1909,6,2,-4,Straightforward,28,97
Game4-austria-russia,Game4-austria-russia-36,1113,"Although technically, you're the one getting Rum",1,17631,russia-Game4,Game4-austria-russia-35,Truth,Truth,austria-Game4,1113,36,1904,6,7,1,Straightforward,8,50
Game12-turkey-russia,Game12-turkey-russia-336,876,"F BAR - NWG
A Ber - Kie
A Boh S Mun
F Den - HEL
A Kie - Den
A Mun S Ber - Kie
F Nwy S SKA - NTH
A Pru - Ber
A Sil S Mun
F SKA - NTH
F Swe - SKA",0,9420,russia-Game12,Game12-turkey-russia-335,Truth,Truth,turkey-Game12,876,336,1907,11,10,-1,Straightforward,48,143
Game12-england-france,Game12-england-france-51,302,"Reposting:
Sure, I had expected you to move it to Eng in Spring tbh
Now, without Eng to support, it will be hard to take Bel if G makes the right moves.",1,9920,france-Game12,Game12-england-france-50,Truth,Truth,england-Game12,302,51,1902,4,4,0,Straightforward,32,152
Game4-austria-russia,Game4-austria-russia-34,1111,"I stabbed you in the back once already, I owe you this one",1,17629,austria-Game4,Game4-austria-russia-33,Truth,Truth,russia-Game4,1111,34,1904,5,4,-1,Straightforward,14,60
Game11-germany-france,Game11-germany-france-66,834,"This is basically the same as just moving Pie into Tuscany, with support from my fleet, except for that if I convoy Mar the support is less likely to be cut(I think there is a higher chance they will cut support to my fleet than cut support/move to Piedmont)",1,7936,france-Game11,Game11-germany-france-65,Truth,Truth,germany-Game11,834,66,1903,6,7,1,Straightforward,49,258
Game12-turkey-russia,Game12-turkey-russia-232,647,"Our situation with your Vie/Tri centers is tricky: once you recapture Trl, and I'm in Tri, we can press on them, but as long as we need to worry about protecting Vie/Tri from falling into their hands *and* from falling into *my* hands (unintentionally - to keep them out), it'll slow us down, and possibly rob you of the ability to get that last needed northern fleet.",1,9264,turkey-Game12,Game12-turkey-russia-231,Truth,Truth,russia-Game12,647,232,1905,8,6,-2,Straightforward,67,368
Game12-turkey-russia,Game12-turkey-russia-261,679,"I havent played online in years, but used to play f2f with the worlds greatest players (no exaggeration).",1,9310,turkey-Game12,Game12-turkey-russia-260,Truth,Truth,russia-Game12,679,261,1905,8,6,-2,Straightforward,19,110
Game12-turkey-russia,Game12-turkey-russia-197,579,"A Ber S Sil - Mun
A Boh S Sil - Mun
F BOT - BAL
F Nwy - BAR
A Sil - Mun
F Swe S Nwy
A Vie - Tri
A War - Gal",1,9215,russia-Game12,Game12-turkey-russia-196,Truth,Truth,turkey-Game12,579,197,1904,8,7,-1,Straightforward,36,107
Game12-france-russia,Game12-france-russia-205,1117,"F BAR - NWG
A Ber
A Boh S Sil
A Den - Swe
A Lvn S Ber - Pru
F Lvp H
A Mun S Boh
A Sil S Ber - Pru
F Stp/nc S Lvn
F Yor - Lon",1,9420,russia-Game12,Game12-france-russia-204,Truth,Truth,france-Game12,1117,205,1909,10,14,4,Straightforward,41,124
Game12-turkey-italy,Game12-turkey-italy-18,530,"Currently on 14 centers, but England has Tunis so no win for me",1,8639,turkey-Game12,Game12-turkey-italy-17,Truth,Truth,italy-Game12,530,18,1903,5,6,1,Straightforward,14,65
Game4-france-russia,Game4-france-russia-272,1309,"Well, i can't say I agree with the latter, but I agree with your first point",1,18656,russia-Game4,Game4-france-russia-271,Truth,Truth,france-Game4,1309,272,1906,9,6,-3,Straightforward,17,78
Game12-france-russia,Game12-france-russia-63,955,"Hey, sorry was busy playing Civ with some friends",0,9558,france-Game12,Game12-france-russia-62,Truth,Truth,russia-Game12,955,63,1908,7,3,-4,Straightforward,10,51
Game4-england-austria,Game4-england-austria-5,343,"I believe I am at the moment, apart from Russia that is...

How are you faring?",0,17652,austria-Game4,Game4-england-austria-4,Truth,Truth,england-Game4,343,5,1902,4,4,0,Straightforward,16,79
Game12-turkey-italy,Game12-turkey-italy-6,486,"

I'm guessing you're ordering into Trieste anyway to protect Serbia while you take Greece with Bulgaria and Aegean.",0,8611,italy-Game12,Game12-turkey-italy-5,Truth,Truth,turkey-Game12,486,6,1903,4,3,-1,Straightforward,19,117
Game12-turkey-russia,Game12-turkey-russia-105,396,"With this A/I war, I've got the position to mostly do it myself, but if you had A War and wanted to take part in maybe getting Vienna for yourself, you could use that to fuel your further expansions while I gobble most of the rest of Austria and push through the med...",1,9084,turkey-Game12,Game12-turkey-russia-104,Truth,Truth,russia-Game12,396,105,1902,5,5,0,Straightforward,53,269
Game12-turkey-russia,Game12-turkey-russia-236,652,"F BAL C Pru - Den
A Ber - Kie
A Boh S Mun
A Mun S Ber - Kie
F Nwy S Stp/nc - BAR
A Pru - Den
F Stp/nc - BAR
F Swe S Pru - Den
A Tri - Tyr",1,9272,russia-Game12,Game12-turkey-russia-235,Truth,Truth,turkey-Game12,652,236,1905,10,12,2,Straightforward,44,137
Game12-turkey-russia,Game12-turkey-russia-31,36,"And if Austria is wary, and wants a bounce in Gal, that's ok too: if you *tell* Italy there'll be a bounce in Gal, that gives them the opening they need to do Ven-Tri or Ven-Trl + Rom-Ven",0,8976,turkey-Game12,Game12-turkey-russia-30,Truth,Truth,russia-Game12,36,31,1901,3,2,-1,Straightforward,39,189
Game12-turkey-russia,Game12-turkey-russia-41,46,"I'll open some back channels to see if I can learn anything, but there may not be much to do other than cheerleading any time we hear someone suggest a Sea Lion, or England asking you if you'll just divert Gob-Swe to instead do Bal while they convoy to Den, when Germany ends up in Swe instead of bouncing you out...",1,8999,turkey-Game12,Game12-turkey-russia-40,Truth,Truth,russia-Game12,46,41,1901,3,2,-1,Straightforward,61,316
Game12-england-russia,Game12-england-russia-21,463,"Heres my moveset atm:
F BAR - Nwy 
A Gal - Vie
A Pru - Ber
F Swe S NTH - Den
A Ukr - War",0,8902,russia-Game12,Game12-england-russia-20,Truth,Truth,england-Game12,463,21,1903,5,5,0,Straightforward,26,89
Game12-france-russia,Game12-france-russia-181,1093,"Russia
A Ber - Pru
A Boh S Mun - Tyr
F Cly - Edi
A Kie S Ruh - Mun
F Lvp H
F NTH - Lon
F NWG - NTH
F Nwy S NWG - NTH
A Pru - Lvn
A Ruh - Mun
A Sil - Gal",1,9684,russia-Game12,Game12-france-russia-180,Truth,Truth,france-Game12,1093,181,1908,11,15,4,Straightforward,50,152
Game12-france-russia,Game12-france-russia-269,1181,"F BAR - NWG
A Ber - Pru
A Boh S Sil
A Den - Swe
A Lvn S Sil - War
F Lvp H
A Mun - Tyr
A Sil - War
F Stp/nc S Lvn
F Yor - Lon",1,9712,russia-Game12,Game12-france-russia-268,Truth,Truth,france-Game12,1181,269,1909,10,14,4,Straightforward,41,124
Game4-france-russia,Game4-france-russia-155,967,"The safest way would be something like this:
Warsaw S Ukraine
Moscow S Ukraine
Munich S Silesia",1,18491,france-Game4,Game4-france-russia-154,Truth,Truth,russia-Game4,967,155,1904,6,6,0,Straightforward,17,95
Game12-turkey-russia,Game12-turkey-russia-165,524,"Don't worry about them, they'll be busy dealing with me",0,#N/A,turkey-Game12,Game12-turkey-russia-164,Truth,Truth,russia-Game12,524,165,1903,5,5,0,Straightforward,11,57
Game4-france-russia,Game4-france-russia-191,1078,"I sent this to Austria as a recommendation and thought I'd share with you too:
Ukraine-Rumania
Moscow S Sevastopol H
Budapest S Serbia H
Serbia S Ukraine-Rumania
Galicia S Ukraine-Rumania",1,9165,france-Game4,Game4-france-russia-190,Truth,Truth,russia-Game4,1078,191,1904,6,6,0,Straightforward,30,187
Game4-france-russia,Game4-france-russia-191,1078,"I sent this to Austria as a recommendation and thought I'd share with you too:
Ukraine-Rumania
Moscow S Sevastopol H
Budapest S Serbia H
Serbia S Ukraine-Rumania
Galicia S Ukraine-Rumania",1,18547,18547,Game4-france-russia-190,Truth,Truth,russia-Game4,1078,191,1904,6,6,0,Straightforward,30,187
Game12-france-russia,Game12-france-russia-248,1160,"F MAO S Por - Spa/sc

A Mar S Tyr - Pie

F Naf - WES

F Por - Spa/sc

F Spa/sc - LYO

A Tyr - Pie",1,9744,france-Game12,Game12-france-russia-247,Truth,Truth,russia-Game12,1160,248,1909,6,2,-4,Straightforward,28,97
Game12-turkey-russia,Game12-turkey-russia-295,751,"F BAL S Nwy - SKA
F BAR S Stp/nc - Nwy
A Boh S Tyr - Mun
A Den S Kie
A Kie S Mun - Ruh
A Mun - Ruh
F Nwy - SKA
F Stp/nc - Nwy
F Swe S Stp/nc - Nwy
A Tyr - Mun
A War - Pru",1,9366,russia-Game12,Game12-turkey-russia-294,Truth,Truth,turkey-Game12,751,295,1906,11,12,1,Straightforward,54,170
Game4-france-russia,Game4-france-russia-152,962,"For that reason, I recommend:
Warsaw S Silesia H 
Munich-Berlin
Kiel S Munich-Berlin
Burgundy-Munich",1,18488,france-Game4,Game4-france-russia-151,Truth,Truth,russia-Game4,962,152,1904,6,6,0,Straightforward,14,100
Game11-germany-italy,Game11-germany-italy-81,1281,"Gas and Bur likely cannot take Mar anyways, so in my view you would be better off using:
A Par & A Pic S A Gas - Bre
F NTH S F Bel - ENG
A Bur - Mun",0,6886,italy-Game11,Game11-germany-italy-80,Truth,Truth,germany-Game11,1281,81,1907,3,-5,-8,Straightforward,39,148
Game9-turkey-france,Game9-turkey-france-22,249,"Russia has been pretty talkative with me, actually.",1,26177,france-Game9,Game9-turkey-france-21,Truth,Truth,turkey-Game9,249,22,1901,3,3,0,Straightforward,8,51
Game9-turkey-france,Game9-turkey-france-19,244,"Will move F MAO - Spa sc, which should give me some presence in the Med and put a little bit of pressure on Italy.",0,26173,france-Game9,Game9-turkey-france-18,Truth,Truth,turkey-Game9,244,19,1901,3,3,0,Straightforward,25,114
Game9-turkey-france,Game9-turkey-france-12,71,Haven't heard anything from Austria or Russia either.,1,26165,france-Game9,Game9-turkey-france-11,Truth,Truth,turkey-Game9,71,12,1901,3,3,0,Straightforward,8,53
Game9-turkey-france,Game9-turkey-france-4,61,I'm curious to see if Russia plans to send A Moscow north or south.,1,26157,france-Game9,Game9-turkey-france-3,Truth,Truth,turkey-Game9,61,4,1901,3,3,0,Straightforward,14,67
Game9-turkey-france,Game9-turkey-france-2,48,"We don't have to attack them right away, but neither of us benefits if they get too big ya",1,26152,turkey-Game9,Game9-turkey-france-1,Truth,Truth,france-Game9,48,2,1901,3,3,0,Straightforward,19,90
Game9-england-france,Game9-england-france-118,1263,"Germany can beat the odds by having Russia do F Nwy - NTH to cut support, coupled with A Kiel S A Mun H, but Russia takes on considerable risk in doing so",0,26144,france-Game9,Game9-england-france-117,Truth,Truth,england-Game9,1263,118,1902,5,6,1,Straightforward,33,154
Game9-england-france,Game9-england-france-114,1232,So there will be a gap somewhere - let's see where in the morning,0,26137,france-Game9,Game9-england-france-113,Truth,Truth,england-Game9,1232,114,1902,5,6,1,Straightforward,14,65
Game9-england-france,Game9-england-france-113,1231,"Germany will need to disband, but they need all their current units to make a defensive line",1,26136,france-Game9,Game9-england-france-112,Truth,Truth,england-Game9,1231,113,1902,5,6,1,Straightforward,17,92
Game9-england-france,Game9-england-france-88,1063,"But yeah, I'm comfortable with betting that Germany won't do that",1,26104,france-Game9,Game9-england-france-87,Truth,Truth,england-Game9,1063,88,1902,5,5,0,Straightforward,11,65
Game9-england-france,Game9-england-france-85,1057,"A Ruhr is decently likely to have its support cut, while it's impossible for that to happen to A Munich",0,26101,france-Game9,Game9-england-france-84,Truth,Truth,england-Game9,1057,85,1902,5,5,0,Straightforward,20,103
Game9-england-france,Game9-england-france-84,1055,"May require a bit of trust, but I am full in for this alliance.",0,26098,england-Game9,Game9-england-france-83,Truth,Truth,france-Game9,1055,84,1902,5,5,0,Straightforward,14,63
Game9-england-france,Game9-england-france-76,1030,"I support you into Belgium, you support me into Munich",0,26089,england-Game9,Game9-england-france-75,Truth,Truth,france-Game9,1030,76,1902,5,5,0,Straightforward,10,54
Game9-england-france,Game9-england-france-72,1025,Thinking out loud here - if we assume Germany will anticipate that I attack Belgium and order A Kiel & F HEL S F Bel - Hol,1,26080,france-Game9,Game9-england-france-71,Truth,Truth,england-Game9,1025,72,1902,5,5,0,Straightforward,27,122
Game9-england-france,Game9-england-france-63,724,On that note - we now have a very messy map.,1,26066,france-Game9,Game9-england-france-62,Truth,Truth,england-Game9,724,63,1902,5,5,0,Straightforward,11,44
Game9-england-france,Game9-england-france-33,443,"Honestly, I figured I should do my due diligence and consider it, but I can't figure out how a France-German alliance would even work in this situation.",1,26028,france-Game9,Game9-england-france-32,Truth,Truth,england-Game9,443,33,1901,5,5,0,Straightforward,27,152
Game9-england-france,Game9-england-france-29,411,I was thinking of building A Marseilles to support myself into Burgundy and advance against Germany,0,26023,france-Game9,Game9-england-france-28,Truth,Truth,england-Game9,411,29,1901,5,5,0,Straightforward,16,99
Game9-england-france,Game9-england-france-23,327,"I told them that I'd be willing to let them have Belgium, which they then (unprompted) took to mean I was offering them Belgian in exchange for an alliance against you.",0,26015,france-Game9,Game9-england-france-22,Truth,Truth,england-Game9,327,23,1901,3,3,0,Straightforward,31,168
Game9-england-france,Game9-england-france-21,323,Also germany said you reached out to them about turning on me?,1,26014,england-Game9,Game9-england-france-20,Truth,Truth,france-Game9,323,21,1901,3,3,0,Straightforward,12,62
Game9-england-france,Game9-england-france-17,300,Suggest you submit draft orders and revise them if/when Germany gets back,1,26011,france-Game9,Game9-england-france-16,Truth,Truth,england-Game9,300,17,1901,3,3,0,Straightforward,12,73
Game9-england-france,Game9-england-france-16,297,Ill wait and see what Germany messages me back,1,26009,england-Game9,Game9-england-france-15,Truth,Truth,france-Game9,297,16,1901,3,3,0,Straightforward,9,47
