feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,Input.deception_quadrant,Input.deception_quadrant_cat,affcon_gamemove,affcon_reasoning,affcon_rapport,affcon_shareinformation,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Straightforward,1,1,1,1,1,26,16.45,12.43,38.39,89.84,26,19.23,88.46,53.85,19.23,3.85,3.85,0,0,0,0,15.38,11.54,0,11.54,0,11.54,3.85,23.08,7.69,3.85,0,0,3.85,11.54,7.69,3.85,0,0,3.85,3.85,0,0,0,0,26.92,3.85,3.85,3.85,11.54,0,7.69,0,0,0,0,0,0,0,0,0,7.69,3.85,0,3.85,0,0,0,15.38,3.85,7.69,3.85,3.85,0,0,7.69,0,0,0,0,0,0,0,0,0,0,11.54,0,7.69,0,0,3.85,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Straightforward,1,1,1,0,1,9,46.37,98.62,1,1,9,22.22,100,66.67,22.22,11.11,0,0,11.11,0,0,11.11,0,22.22,11.11,0,11.11,0,11.11,11.11,11.11,11.11,0,0,11.11,0,11.11,0,0,0,11.11,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Straightforward,1,1,1,1,1,18,1,28.91,98.01,25.77,18,11.11,88.89,61.11,27.78,16.67,11.11,0,5.56,0,0,11.11,0,5.56,11.11,11.11,11.11,5.56,38.89,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,16.67,11.11,0,0,0,0,5.56,5.56,0,5.56,0,0,0,0,0,0,5.56,0,0,0,5.56,0,5.56,27.78,5.56,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Straightforward,1,1,1,1,1,13,24.14,22.08,99,25.77,13,15.38,84.62,53.85,15.38,15.38,15.38,0,0,0,0,0,0,15.38,15.38,7.69,7.69,0,23.08,15.38,15.38,0,0,7.69,0,0,0,0,0,0,7.69,0,7.69,0,0,23.08,7.69,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,23.08,7.69,15.38,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,7.69,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Straightforward,1,0,0,1,0,14,1,50,99,25.77,14,14.29,92.86,71.43,21.43,21.43,14.29,7.14,0,0,0,0,0,7.14,21.43,7.14,14.29,0,21.43,0,0,0,0,0,0,0,0,0,0,0,14.29,0,7.14,0,0,14.29,7.14,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,28.57,14.29,0,7.14,7.14,0,0,35.71,0,14.29,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Straightforward,1,1,1,0,0,26,33.48,6.21,99,1,26,15.38,92.31,65.38,26.92,23.08,15.38,0,7.69,0,0,3.85,3.85,23.08,11.54,3.85,7.69,3.85,23.08,3.85,3.85,0,0,7.69,3.85,0,3.85,3.85,0,0,7.69,0,0,0,0,15.38,3.85,0,0,0,0,11.54,3.85,3.85,0,0,0,0,0,0,0,3.85,0,0,0,0,3.85,3.85,11.54,7.69,11.54,7.69,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,19.23,0,7.69,0,0,0,0,0,0,11.54,0,0
0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Straightforward,1,1,0,1,1,9,46.37,50,98.01,25.77,9,33.33,77.78,44.44,11.11,11.11,11.11,0,0,0,0,0,0,11.11,11.11,0,11.11,0,33.33,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,11.11,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,22.22,11.11,11.11,0,0,0,0,22.22,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,Straightforward,1,1,1,1,1,24,1.92,4.8,99,99,24,20.83,87.5,66.67,25,25,16.67,0,8.33,0,0,0,4.17,12.5,16.67,8.33,12.5,4.17,20.83,0,0,4.17,0,0,8.33,8.33,0,0,0,0,12.5,0,4.17,0,0,33.33,8.33,4.17,4.17,8.33,4.17,16.67,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83,0,4.17,0,0,4.17,0,0,0,12.5,0,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Straightforward,1,1,1,1,1,8,93.26,50,99,1,8,37.5,87.5,37.5,0,0,0,0,0,0,0,0,0,25,0,25,0,0,12.5,25,0,0,0,0,12.5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,12.5,12.5,25,12.5,25,0,0,0,0,0,0,0,0,0,0,25,12.5,12.5,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,Straightforward,1,1,0,1,1,21,18.82,31.71,98.01,1,21,19.05,95.24,66.67,28.57,19.05,14.29,0,4.76,0,0,9.52,4.76,14.29,9.52,4.76,9.52,0,19.05,0,0,0,0,0,4.76,0,4.76,0,0,0,9.52,0,0,0,0,14.29,4.76,4.76,4.76,9.52,0,4.76,0,0,0,0,0,0,0,0,0,9.52,4.76,0,4.76,4.76,0,0,9.52,4.76,14.29,4.76,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,4.76,4.76,4.76,0,0,0,0,0,0,0,0
