,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,msg_id
Game1-italy-germany-0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Game1-italy-germany-0
Game1-italy-germany-9,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-9
Game1-italy-germany-10,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-10
Game1-italy-germany-11,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-11
Game1-italy-germany-13,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-13
Game1-italy-germany-14,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-14
Game1-italy-germany-21,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Game1-italy-germany-21
Game1-italy-germany-23,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,Game1-italy-germany-23
Game1-italy-germany-24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-24
Game1-italy-germany-26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Game1-italy-germany-26
Game1-italy-germany-29,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-29
Game1-italy-germany-31,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-31
Game1-italy-germany-32,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,Game1-italy-germany-32
Game1-italy-germany-39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Game1-italy-germany-39
Game1-italy-germany-41,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-41
Game1-italy-germany-44,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Game1-italy-germany-44
Game1-italy-germany-51,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Game1-italy-germany-51
Game1-italy-germany-53,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-53
Game1-italy-germany-55,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Game1-italy-germany-55
Game1-italy-germany-57,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,Game1-italy-germany-57
Game1-italy-germany-60,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Game1-italy-germany-60
Game1-italy-germany-62,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-62
Game1-italy-germany-70,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,Game1-italy-germany-70
Game1-italy-germany-73,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,Game1-italy-germany-73
Game1-italy-germany-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game1-italy-germany-78
Game1-italy-germany-80,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,Game1-italy-germany-80
Game1-italy-germany-82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-82
