,frequency
more tempting if,2437
more strength,1760
more interested,1401
morning but might be,1212
mos arm,889
mood for message,788
more year it will,648
more in the,617
more inclined to,599
mos bud gal,595
moscow offers,572
morning so didnt think,555
mood,531
more organized than the,484
mos northward,467
more organized than,447
more or,427
most two units,420
most natural,381
mos,370
mind and,367
morning for,352
more input than,346
more strength to,289
mos northward this,288
mos bud,286
move to burgundy,285
more important to,283
mind and we,279
moscow could be,272
moscow could be promising,268
montana so might,266
more inclined,253
message and screenshot it,252
minds if we,252
mood suits,249
more organized,247
morning england has,236
moscow for,235
moves from last,226
mostly people being,226
move for,225
moving edi into,223
mos england edi,219
more tempting if foreign,217
montana,212
mean mutually,212
move to picardy and,209
moscow could,206
more you stand to,203
me theyre staying neutral,202
most wanted,197
move to con,187
move into galicia,184
move faster we,177
mr,174
mostly me who fucked,173
more tempting,170
man but you,165
mos arm sev nao,165
move nwy to,164
morning but might,156
move nwy,156
move towards wes,149
might be important to,149
mostly me,148
more solid,145
mos england,145
moscow you,133
mun kie with support,132
more year it,131
montana so,128
most wanted to,127
money three ways would,127
moscow ukraine sevastopol warsaw,125
most logical,122
moscow you get,121
minute and also didn,119
means at centers,118
mis,118
mean shit worried about,118
moving in,117
me to sweden and,116
move into ion because,116
more input than you,115
more competent player,115
move into good position,115
move on,114
morning for me,113
more input,111
of influence,111
might be taking things,106
much progress in the,105
month,105
me to forward,104
need both your first,103
myself and end,102
mos bud gal tyr,101
mun bal ber,100
me temporarily putting,99
me clarify,99
maybe im,98
need me to do,98
more from,96
move into munich or,95
might work in our,93
more yknow,92
means not rewarding,92
move towards france to,90
missing something,90
make move to,89
much the,88
more natural,86
me temporarily putting my,85
my double fleet,85
more strength to the,84
mun nwy bar nwg,83
much can,83
move into ruh,83
let you get it,82
motions,82
missed some turns probably,82
more suggestion,80
my fleet out and,80
med,79
move into it,78
means nasty,78
mr president look,77
mind before,77
mind before austria ruined,77
more of an opportunity,77
mun this round,76
message about it until,74
move what do get,73
might be easier to,73
moving into hol,72
north sea helgoland,72
might be little more,72
most communicative gent this,72
mood suits and,71
more than,71
move forward with,70
me temporarily,70
me was,69
neither did,69
min if you,68
need to hear from,68
me he may,68
move to vienna definitely,68
meanwhile germany built,67
me to move,66
more communication,66
my pick,65
looking up to see,65
more so in the,65
move to north atlantic,64
morning england,64
me doing anything,64
more how to see,63
more intel,63
maybe you could offer,63
long as you have,62
minimum of five centers,62
north sea holland and,62
much time online,62
minds if we went,61
moves tonight though,61
moving to nwy,61
move toward the north,59
more support from,59
means at centers and,59
my double fleet east,59
med and,59
more you,59
move nwy to stp,58
making lot,57
might be down to,57
nap and ber kie,57
moscow for me as,56
move out then,56
me which,55
more support,55
more in the future,55
mun to,54
just what ve,54
more comfortable with,54
my recommendation is vie,54
move to avoid,53
matter and some,53
not moving to,53
need build in,53
new from france,52
me to not,52
lvn and would,52
nao lvp and,52
med area while,51
me tell italy that,51
me some of your,51
me into marseilles it,51
me dawg,51
move because forgot to,51
move stuff,51
my fleet sev,51
move to protect it,50
mess up,50
mostly people,50
might do that,50
need russia to,49
moscow for me,49
minute and,49
me know what should,49
mess first,49
measures,48
moment no,48
next year assuming,48
nor have,48
maybe let you,48
missing something that,48
of shutting me up,48
most logical thing,47
moves planned,47
likely to materialize,47
my reasoning if,47
my phone stopped,47
moving east too fast,46
more clever,46
moving into bulgaria,46
moseying,46
moscow and then slipping,46
mostly people being busy,46
mos arm sev,46
me to take denmark,46
more or less jockeying,45
measures may need,45
numbers at the end,45
many deals but,45
mos stp because,45
nationally,45
means austria will,45
mouth but feel like,45
move around,45
little quiet at,44
message about,44
mos england edi nth,44
move that,44
move into kiel,43
might work in,43
move,43
moscow now,43
meaning,43
me and you will,43
me more angles against,43
me thinks maybe,43
means me _and germany_,43
naval support in,42
lots of options on,42
mood of,42
him to protect,42
man but you brought,41
missed,41
like the,41
me some flexibility to,41
med and then you,41
most of my,41
loyalty and,41
new move,41
mutual effort there,41
once again,41
my intent was going,40
mostly just trying to,40
next season and well,40
know if ll have,40
mind and we ll,40
much sense,40
means austria,39
make it another,39
mao por mar pie,39
much risk,39
me much anymore,39
might take that,39
mun nwy,38
made the best moves,38
ll keep expanding that,38
moseying out,38
move up to threaten,38
me he judtcrebuilds it,38
move to ruh,38
mao to spain sc,38
loss of,37
me to take dot,37
much for the info,37
lepanto by prepping convoy,37
me next time,37
move away or,37
much,37
need some help,36
mos northward this turn,36
my fleet into,36
my immediate,36
my best guess,36
need to disband,36
lon moving to eng,35
now is to,35
my units back,35
my island,35
moscow ukraine sevastopol,35
my long,35
munich for yourself,35
mins to get,35
moscow north,34
med area,34
not busy,34
me to not do,34
like he talking,34
meant to take,34
mos sev war,34
much thought most,34
of intel this is,34
me of,34
message about it,34
me or does something,34
moves galicia,34
mostly just straight,34
italy greece is significant,33
my build how can,33
move set but didnt,33
mind,33
london to denmark is,33
mention taking,33
lmk how can facilitate,33
moscow now since austria,32
mun kie ruh,32
lon ec edi,32
min if,32
munich holds for,32
my double,32
mood for message forwards,32
mean literally,32
mess,32
mins to,31
not really relevant to,31
me know what your,31
might do,31
much as can,31
might not make it,31
mess at the moment,30
more seasons,30
might be interesting,30
me yours would appreciate,30
other thing,30
moving edi into nth,30
myself and end up,30
knife in and,30
minimum and if you,30
kie to ensure youd,30
me he may have,30
