,frequency
minds if we went,421
minds if we,300
mind giving it to,259
might say have to,219
mind that you are,156
mos,140
most important,126
minds,115
moving on the,109
me staying with,97
moving out of,96
mind that you,95
might not recover,92
mentioned specifically because england,92
mind giving it,88
mind,86
moscow as well,79
more keen to,76
might say have,75
may have reached out,69
more imposing than it,68
mess,63
mean eng,55
most likely explanation for,55
luck has,54
med,51
mentioned that you,50
me to have belgium,49
me but ill,49
mind giving,47
message without focusing on,46
naturally which is,46
miss,45
meaningful time,44
might was dropped off,43
new this turn good,42
moving to london no,42
moving on the italians,42
munich to,42
mentioned specifically because,42
message without focusing,40
may have some questions,38
nothing,37
moving to london,36
lost warsaw,36
my guy in,36
maybe doesn,35
me constantinople ankara vienna,35
moscow this season,34
miss another,34
message without,33
me how you,32
mine hahah,31
nao,31
opposed to my order,31
message you,31
mao willingly,31
mar can you not,29
nervous that france,29
lies to,28
not do that,28
my fleet sev rum,28
nc my plan for,27
my gameplay style,27
matter how good,26
large part because,26
more keen to fight,26
mentioned that,25
not writing to anyone,25
neutrals,24
maybe cautious expansion,24
ll see my luck,23
not going to,22
me how,22
mean really,22
not may actually have,21
of course part,21
morning before,21
my fleet sev,21
leave gre open,21
my gameplay,21
most communicative gent,21
meant leave,20
new goal and,20
luck has to run,20
just heads up that,20
mad at you just,20
nao but otherwise,20
must admit to,19
my holdings what use,19
mao willingly this,19
it looks,19
meaningful,19
most likely outcome,19
more imposing than,18
lines,18
man,18
italy and,18
more powerful at,18
might be uncomfortable with,18
most likely,18
if germany is,18
leave it,17
nc pru,17
might say,17
minority thing hahah,17
me having bel,16
obviously fairly heavily,16
north and two fleets,16
made deal,16
off while,16
or even going to,16
me good player or,16
me briefly,16
nao but,16
message that says,15
minds if,15
mad at,15
negotiate,14
neutral until they know,14
norway back,14
my king what do,14
score,14
looking at this,14
mos arm sev nao,14
make it stick,14
otherwise rather,13
reincarnated as,13
ll see,13
not my,13
makes sure that,13
its in your,13
on you at,13
know it was being,13
mistook,13
more keen,12
italy wants,12
most likely and youll,12
is on board as,12
it important,12
just that if,12
negotiating mutual,12
now my,12
little anatolia,12
nc my,12
make iberia,12
me message,12
me off,12
just transfer belgium to,12
or france,12
lon ec,12
me wonder did,12
me but ill hear,12
lasagna of deceit,12
leave the,12
little,12
much else,11
