,Answer.1gamemove.yes_pc_agree,Answer.2reasoning.yes_pc_agree,Answer.4shareinformation.yes_pc_agree,Answer.3rapport.yes_pc_agree
5,1.0,0.8,1.0,0.8
6,1.0,0.6,0.8,0.8
7,0.8,0.6,0.6,0.6
8,0.8,0.8,0.8,0.8
9,0.8,0.8,1.0,1.0
10,0.6,0.8,0.8,0.8
11,0.8,0.8,1.0,0.8
12,0.6,0.6,0.6,0.6
13,0.8,0.6,0.6,0.8
14,1.0,1.0,0.8,0.8
15,0.8,0.6,0.6,0.6
16,0.8,0.6,0.6,0.8
17,1.0,1.0,1.0,1.0
18,0.8,0.8,0.6,0.6
19,0.8,0.8,0.8,0.6
20,1.0,0.8,0.6,0.6
21,0.6,0.6,0.6,0.6
22,0.8,0.8,0.8,0.8
23,0.8,0.8,0.8,0.8
24,0.6,0.6,0.6,0.6
25,1.0,0.6,1.0,0.8
26,1.0,1.0,1.0,1.0
27,0.8,0.8,0.8,0.8
28,0.6,0.8,0.6,0.8
29,0.6,0.6,0.8,0.6
30,0.6,0.8,0.6,0.8
31,0.8,0.6,0.8,0.6
32,1.0,1.0,0.8,1.0
33,0.8,0.8,1.0,0.8
34,0.8,0.6,0.6,0.6
36,0.6,0.6,0.6,0.6
37,0.8,0.6,1.0,1.0
38,0.8,0.6,0.6,0.6
39,0.8,1.0,0.8,1.0
41,0.8,1.0,0.8,1.0
42,0.8,0.6,0.8,0.6
43,0.8,1.0,1.0,0.8
44,0.8,0.8,0.8,0.8
45,0.8,0.8,0.6,0.8
46,1.0,0.6,0.8,0.6
47,0.8,0.8,0.6,0.6
48,1.0,0.8,0.8,0.8
49,0.8,0.8,0.8,0.8
50,0.8,0.6,0.8,0.6
51,0.8,0.6,0.8,1.0
52,1.0,1.0,1.0,0.8
54,0.8,0.8,0.8,1.0
55,1.0,0.6,0.8,1.0
56,0.6,0.6,0.6,0.6
57,1.0,0.6,0.6,0.6
58,0.8,0.8,1.0,0.6
59,1.0,0.6,0.6,0.8
60,0.6,0.6,0.6,0.8
61,0.6,0.6,1.0,0.8
62,0.8,0.8,0.8,1.0
63,0.6,0.6,0.8,0.6
64,1.0,0.6,0.8,1.0
65,1.0,1.0,0.8,1.0
66,0.6,0.8,0.6,0.6
67,0.8,0.8,0.8,0.8
68,0.6,0.6,0.6,0.6
69,0.6,0.6,0.6,0.6
70,1.0,0.8,0.8,0.8
71,1.0,0.8,0.8,0.8
72,0.6,0.8,0.6,0.6
73,0.8,0.6,0.8,0.6
74,1.0,0.8,1.0,1.0
75,0.6,0.8,0.6,0.6
76,0.8,1.0,1.0,1.0
77,0.6,0.6,1.0,1.0
78,0.8,0.8,0.8,1.0
79,0.8,0.6,0.6,0.6
80,1.0,0.8,0.8,1.0
81,0.6,0.8,0.8,0.6
83,1.0,0.8,0.8,1.0
84,1.0,0.8,1.0,0.8
85,0.8,0.8,0.8,0.8
86,1.0,0.8,0.6,0.6
87,0.6,0.6,0.6,0.6
88,0.6,0.6,0.6,0.8
89,1.0,0.6,0.8,0.8
90,0.8,0.8,0.6,0.6
91,0.6,0.8,0.6,0.6
92,0.8,0.6,0.6,0.6
93,0.8,0.8,0.6,0.6
94,1.0,1.0,1.0,1.0
95,1.0,0.8,0.8,0.8
96,0.6,0.6,0.6,0.8
97,1.0,0.6,0.8,0.8
98,1.0,0.6,0.6,0.8
99,1.0,0.6,0.6,0.8
101,0.8,0.8,0.6,0.8
103,0.6,1.0,0.6,0.8
104,0.6,0.8,0.6,0.6
105,1.0,0.6,0.6,0.6
106,0.6,0.8,0.6,0.6
107,0.8,0.6,0.6,0.6
110,0.8,0.8,0.8,0.6
113,1.0,0.6,0.8,1.0
114,1.0,0.6,0.8,0.8
115,0.6,0.8,0.6,0.6
116,0.6,0.6,0.8,0.8
117,0.8,0.6,0.6,0.8
118,1.0,1.0,0.8,0.6
119,0.6,1.0,0.8,0.6
120,0.6,0.6,0.6,0.6
122,0.8,0.6,0.6,0.8
123,0.6,0.6,0.6,0.6
124,0.8,0.6,1.0,0.8
125,0.6,0.6,0.6,0.6
126,1.0,0.8,1.0,1.0
127,1.0,0.6,0.6,0.8
128,0.6,0.6,0.6,0.8
129,1.0,0.8,0.6,1.0
130,0.8,1.0,0.6,0.8
131,0.8,0.8,0.8,0.6
132,0.6,0.6,0.6,0.8
133,1.0,0.6,0.8,0.8
134,0.6,0.6,0.6,0.6
135,0.6,0.6,0.6,0.6
136,0.8,0.8,0.8,0.6
137,0.8,0.8,0.8,0.6
138,1.0,0.8,0.6,0.6
139,0.6,0.8,0.8,0.8
140,0.8,0.6,0.6,0.6
141,0.8,0.6,1.0,0.8
142,0.8,0.8,0.8,0.8
143,0.6,0.6,0.8,0.8
144,1.0,0.8,0.8,1.0
145,0.8,0.6,0.8,0.6
146,0.6,1.0,1.0,0.6
147,0.8,0.6,0.8,0.6
148,0.8,0.8,0.8,0.6
149,1.0,0.6,0.8,1.0
150,1.0,0.8,0.8,0.8
151,0.8,0.6,0.6,0.8
152,1.0,0.8,0.8,0.8
153,1.0,1.0,1.0,1.0
154,1.0,1.0,1.0,1.0
155,0.8,0.6,0.6,0.6
156,0.8,0.6,0.6,0.6
157,0.6,0.6,0.6,0.6
158,1.0,1.0,1.0,1.0
159,0.6,0.8,0.6,0.6
160,0.8,0.8,0.8,0.8
161,0.6,1.0,0.8,0.6
162,0.8,0.8,0.6,0.6
163,1.0,0.6,0.6,0.8
164,1.0,0.8,0.6,0.8
165,1.0,0.8,0.8,0.8
166,0.6,0.8,0.8,0.6
167,1.0,0.8,0.8,0.8
168,0.8,0.6,0.6,0.6
169,0.8,1.0,1.0,1.0
170,1.0,1.0,1.0,1.0
171,0.6,0.6,0.8,0.6
172,0.6,0.6,0.8,0.6
173,0.8,0.6,0.8,0.6
174,1.0,1.0,0.8,0.8
176,0.6,0.8,0.8,0.8
177,1.0,0.8,0.6,1.0
178,1.0,0.8,0.8,0.8
179,0.6,0.8,0.8,0.8
180,0.6,0.6,0.8,0.8
181,0.8,0.8,1.0,0.8
182,1.0,1.0,1.0,1.0
183,1.0,0.8,1.0,1.0
184,0.8,0.6,0.6,0.6
185,0.6,0.8,0.6,0.8
186,0.6,0.6,0.8,0.8
187,0.8,1.0,1.0,0.6
188,1.0,0.8,1.0,1.0
189,0.8,0.6,0.8,0.8
190,1.0,0.8,0.8,0.8
191,0.6,0.8,0.8,0.6
192,0.6,0.8,0.6,0.6
193,0.8,0.6,0.6,0.8
194,0.8,1.0,1.0,0.8
195,1.0,1.0,1.0,0.8
196,1.0,1.0,0.8,1.0
197,1.0,0.6,0.8,0.6
198,0.6,0.6,0.6,0.6
199,1.0,1.0,0.8,1.0
200,1.0,0.8,0.8,0.8
201,0.6,0.6,0.6,0.6
202,0.8,0.6,0.6,0.8
203,0.8,0.8,0.6,0.8
205,0.6,0.6,0.8,0.8
207,0.6,0.8,0.6,0.8
208,0.6,0.8,0.6,0.6
209,0.6,0.6,0.6,0.6
210,0.8,1.0,1.0,0.8
211,1.0,1.0,1.0,1.0
212,0.8,0.8,0.6,0.6
213,0.8,1.0,0.8,0.8
214,0.6,0.6,0.6,1.0
215,0.6,0.8,0.8,0.8
216,1.0,0.8,0.6,0.8
217,0.6,1.0,0.8,0.6
218,1.0,1.0,1.0,1.0
219,1.0,1.0,1.0,1.0
220,1.0,1.0,0.6,0.8
221,0.8,1.0,0.8,0.8
222,0.8,0.6,0.8,1.0
223,0.8,0.6,0.8,0.8
224,0.8,0.6,0.8,0.8
225,0.6,0.8,0.6,0.6
227,1.0,0.8,0.8,0.8
228,0.8,0.8,0.8,0.8
229,1.0,1.0,0.8,0.8
231,1.0,1.0,1.0,1.0
232,0.8,0.6,0.6,0.8
233,1.0,1.0,0.8,0.8
234,0.6,0.6,0.8,0.8
235,0.8,0.8,0.8,0.6
236,0.8,0.8,1.0,1.0
237,0.6,0.6,0.6,0.6
238,1.0,0.6,0.8,0.8
239,0.8,0.8,1.0,0.6
240,0.8,0.8,0.8,0.8
241,0.8,0.6,1.0,0.8
242,1.0,0.6,0.8,1.0
243,0.8,1.0,1.0,1.0
244,0.8,0.6,0.6,0.6
245,1.0,1.0,1.0,1.0
246,1.0,1.0,0.6,0.6
247,1.0,1.0,0.8,1.0
248,0.6,0.8,0.6,0.6
249,0.6,0.6,0.8,0.6
250,1.0,1.0,0.8,0.6
251,0.6,0.6,0.8,0.6
252,0.8,0.8,0.8,0.8
253,0.8,0.8,1.0,0.8
254,0.6,0.6,0.8,0.8
255,0.6,0.6,0.8,0.8
256,0.6,0.6,0.6,0.6
257,0.8,1.0,0.8,0.8
258,1.0,1.0,1.0,1.0
259,1.0,0.8,0.8,1.0
261,0.8,1.0,1.0,0.8
262,0.6,0.6,0.8,0.6
263,0.8,0.8,0.6,0.6
264,1.0,0.8,0.8,0.6
265,1.0,0.8,1.0,0.6
267,0.8,0.8,0.8,0.8
268,1.0,1.0,1.0,1.0
269,1.0,1.0,1.0,1.0
270,0.8,0.8,1.0,0.8
271,0.6,0.6,0.6,0.6
272,0.6,0.6,0.6,0.6
273,0.8,0.8,0.8,0.8
274,0.8,0.8,0.6,0.6
275,0.8,1.0,0.8,0.8
276,0.8,0.6,0.6,0.6
277,0.6,0.8,0.6,0.6
278,0.8,0.8,0.6,0.8
279,1.0,0.8,0.6,0.6
280,0.8,0.6,0.6,0.6
283,0.8,0.6,0.6,0.6
285,0.6,0.8,0.8,0.8
287,1.0,0.6,0.6,1.0
288,1.0,1.0,0.6,0.8
289,0.8,0.6,0.6,0.6
290,1.0,1.0,0.6,0.8
291,0.8,0.6,0.8,0.8
293,0.8,0.6,0.6,1.0
294,0.8,0.8,0.8,0.6
295,1.0,0.8,1.0,0.8
296,0.6,0.6,0.8,0.6
297,0.8,0.8,0.8,1.0
298,0.8,0.8,0.8,0.8
299,1.0,1.0,1.0,1.0
300,0.6,0.6,0.8,0.8
301,1.0,1.0,1.0,1.0
302,0.8,1.0,0.8,1.0
303,0.6,0.6,0.8,0.6
304,0.8,0.6,0.8,0.8
305,1.0,0.8,0.6,1.0
306,0.6,0.6,0.6,0.6
307,0.6,0.8,0.8,1.0
309,0.6,0.6,0.6,0.6
310,0.6,0.6,0.6,0.6
311,1.0,0.6,1.0,0.6
312,0.8,0.8,1.0,0.6
313,1.0,1.0,1.0,1.0
314,0.6,0.6,0.6,0.6
315,0.6,0.8,1.0,0.6
317,1.0,1.0,0.8,0.8
318,0.8,0.8,0.8,0.6
319,0.8,0.6,0.6,0.8
320,0.8,0.8,1.0,1.0
321,1.0,0.8,0.6,0.6
322,0.6,0.6,0.8,0.8
323,0.8,0.6,0.6,0.6
324,1.0,1.0,1.0,1.0
326,0.6,0.6,0.6,0.6
327,1.0,0.8,1.0,1.0
328,1.0,1.0,1.0,1.0
329,0.8,0.6,0.6,0.8
330,0.8,0.6,0.6,0.8
331,1.0,1.0,1.0,1.0
332,0.6,0.8,0.8,0.6
333,0.6,0.6,0.8,0.6
334,0.6,0.6,0.6,0.6
335,0.8,0.6,0.6,0.6
336,1.0,0.8,0.8,0.8
337,0.8,0.6,0.8,0.8
338,0.6,0.8,0.6,0.6
339,0.8,0.6,0.6,0.8
340,0.8,0.8,1.0,0.8
341,0.8,0.6,0.6,1.0
342,0.8,0.6,0.6,1.0
343,0.8,0.6,0.6,0.6
344,0.6,0.8,0.8,0.6
345,0.6,0.6,0.6,0.8
346,0.8,0.6,0.8,0.6
347,1.0,1.0,1.0,1.0
348,0.8,0.6,0.6,0.6
349,0.6,0.6,0.8,0.8
350,0.8,0.8,1.0,1.0
351,1.0,0.8,0.8,0.8
352,0.8,0.8,0.8,0.8
353,0.8,0.6,0.8,1.0
355,0.8,0.6,1.0,0.8
356,1.0,1.0,1.0,1.0
358,0.8,0.6,0.6,0.6
360,0.6,0.6,0.8,0.6
361,0.8,0.8,1.0,0.8
362,0.8,0.8,0.8,1.0
363,1.0,0.6,0.6,0.8
364,1.0,0.8,1.0,1.0
365,0.8,0.6,0.6,0.6
366,0.8,0.6,0.6,0.6
367,0.8,0.6,0.6,0.6
368,0.6,0.6,0.6,0.6
369,1.0,0.8,1.0,0.6
370,1.0,0.6,0.8,0.6
371,0.8,1.0,0.8,0.6
372,1.0,1.0,1.0,0.8
373,0.8,0.8,1.0,0.8
374,0.6,0.6,0.8,0.8
375,1.0,0.6,0.6,0.6
376,0.6,0.6,0.6,0.8
377,1.0,0.8,0.8,0.6
378,0.8,0.6,0.8,0.6
379,1.0,1.0,1.0,1.0
380,0.8,0.8,1.0,0.8
381,1.0,0.8,0.8,0.6
382,1.0,0.6,0.6,0.6
383,0.8,0.8,0.8,0.6
384,1.0,1.0,1.0,1.0
385,1.0,1.0,1.0,1.0
386,0.8,0.6,0.6,0.6
387,0.8,0.8,0.8,0.8
388,1.0,1.0,0.8,1.0
389,0.8,0.8,0.6,0.6
390,0.8,0.8,0.6,0.6
391,1.0,1.0,1.0,1.0
392,0.6,0.6,0.6,1.0
393,1.0,0.6,0.8,0.8
394,0.6,0.6,0.6,0.8
395,0.6,0.6,0.6,0.8
396,0.8,0.6,0.6,0.6
397,1.0,0.6,0.6,1.0
398,0.6,0.8,0.6,0.6
399,0.6,0.6,0.6,0.6
