,avg_throughput,avg_worktime,Input.num_characters,avg_agreement,average_avg_var,var_throughput,var_worktime,Input.num_words,var_agreement,average_avg_var,var_throughput_u_shaped,average_avg_var,special_norm,var_throughput_u_shaped,special_uni
avg_throughput,1.0,-0.1990283319386704,-0.0033796472288737654,-0.4407938248717003,0.942242395731535,0.5824658069407913,-0.026424544248560812,-0.0016347262299558829,0.10571577271085658,-0.132294439877345,0.6702262744435751,-0.3846592358072748,0.006332011344865125,-0.6702262744435753,-0.009588179456279088
avg_worktime,-0.1990283319386704,1.0,0.0014981451788704954,0.03417787188337926,-0.1809962744637884,-0.09166754305825664,0.8166791696944563,0.003691642806988192,-0.016056710160971092,0.9672445869246943,-0.13615730424730238,0.024939850413545375,0.0038513671133059853,0.13615730424730246,-0.0048830209500511125
Input.num_characters,-0.0033796472288737654,0.0014981451788704954,1.0,0.04068395951727783,-0.005209351339648459,-0.006705900776767522,0.0007892841871968542,0.9693342083507558,-0.009309607059343594,0.0013005338627510444,-0.006445680508190652,0.035781150905204236,0.007821280354378712,0.00644568050819068,-0.005148150747616465
avg_agreement,-0.4407938248717003,0.03417787188337926,0.04068395951727783,1.0,-0.45898356950658775,-0.3668728964400363,-0.04687785501555428,0.037739469309430736,-0.3387616168897079,4.11726744711731e-05,-0.3560711401057207,0.811157448535112,-0.008140833653234956,0.3560711401057202,0.00642227379269233
average_avg_var,0.942242395731535,-0.1809962744637884,-0.005209351339648459,-0.45898356950658775,1.0,0.8185859947346352,-0.02427423679131132,-0.004506337174389987,0.09876076038515105,-0.12044770889609922,0.786070085495549,-0.4075672537983833,0.008080392505175251,-0.7860700854955482,-0.00712222815571015
var_throughput,0.5824658069407913,-0.09166754305825664,-0.006705900776767522,-0.3668728964400363,0.8185859947346352,1.0,-0.009919526988106228,-0.00774098130152286,0.07188147698090842,-0.06005539208389153,0.7974218143674441,-0.3301631089207978,0.010094113771122805,-0.7974218143674442,0.00012096240835661012
var_worktime,-0.026424544248560812,0.8166791696944563,0.0007892841871968542,-0.04687785501555428,-0.02427423679131132,-0.009919526988106228,1.0,0.0026537684282288416,0.0012488752950841882,0.9363605555242132,-0.018311348283716573,-0.04712000282404576,-0.00631708078651161,0.018311348283716465,-0.014889996436331765
Input.num_words,-0.0016347262299558829,0.003691642806988192,0.9693342083507558,0.037739469309430736,-0.004506337174389987,-0.00774098130152286,0.0026537684282288416,1.0,-0.009414834555751832,0.0034345094910748163,-0.0065954186264429535,0.03270728410380002,0.009818590046612343,0.006595418626442963,-0.006729127162327629
var_agreement,0.10571577271085658,-0.016056710160971092,-0.009309607059343594,-0.3387616168897079,0.09876076038515105,0.07188147698090842,0.0012488752950841882,-0.009414834555751832,1.0,-0.009080570962405983,0.12170251592288717,0.27545926239741575,-0.007063821169957666,-0.12170251592288689,-0.003339866151958716
average_avg_var,-0.132294439877345,0.9672445869246943,0.0013005338627510444,4.11726744711731e-05,-0.12044770889609922,-0.06005539208389153,0.9363605555242132,0.0034345094910748163,-0.009080570962405983,1.0,-0.09083432414516172,-0.005602238654999583,-0.0003507693779538821,0.09083432414516145,-0.009555368412634309
var_throughput_u_shaped,0.6702262744435751,-0.13615730424730238,-0.006445680508190652,-0.3560711401057207,0.786070085495549,0.7974218143674441,-0.018311348283716573,-0.0065954186264429535,0.12170251592288717,-0.09083432414516172,1.0,-0.28815889762630326,0.010895896786435414,-1.0000000000000002,0.008819712377234916
average_avg_var,-0.3846592358072748,0.024939850413545375,0.035781150905204236,0.811157448535112,-0.4075672537983833,-0.3301631089207978,-0.04712000282404576,0.03270728410380002,0.27545926239741575,-0.005602238654999583,-0.28815889762630326,1.0,-0.01270555712000898,0.288158897626304,0.004499300775412571
special_norm,0.006332011344865125,0.0038513671133059853,0.007821280354378712,-0.008140833653234956,0.008080392505175251,0.010094113771122805,-0.00631708078651161,0.009818590046612343,-0.007063821169957666,-0.0003507693779538821,0.010895896786435414,-0.01270555712000898,1.0,-0.010895896786435452,-0.0012182287794385484
var_throughput_u_shaped,-0.6702262744435753,0.13615730424730246,0.00644568050819068,0.3560711401057202,-0.7860700854955482,-0.7974218143674442,0.018311348283716465,0.006595418626442963,-0.12170251592288689,0.09083432414516145,-1.0000000000000002,0.288158897626304,-0.010895896786435452,1.0,-0.008819712377234955
special_uni,-0.009588179456279088,-0.0048830209500511125,-0.005148150747616465,0.00642227379269233,-0.00712222815571015,0.00012096240835661012,-0.014889996436331765,-0.006729127162327629,-0.003339866151958716,-0.009555368412634309,0.008819712377234916,0.004499300775412571,-0.0012182287794385484,-0.008819712377234955,1.0
